title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Hallowed Ground,0,,1h 57m,,Historia Films,"Jun 7, 2019",,"Jun 11, 2019",['horror'],"['Michael Randall', 'Sherri Eakin', 'Michael Williams', 'Laura Cavett', 'Miles Doleac', 'Cotton Yancey', 'Jeremy Sande', ""Wesley O'Mary"", 'Clifton Hyde', 'Ritchie Montgomery', 'Creek Wilson', 'Lindsay Anne Williams', 'Keith Jared']",['Miles Doleac'],https://www.rottentomatoes.com/m/hallowed_ground_2019
Paddleton,89,87,1h 29m,,Duplass Brothers Productions,,,"Feb 22, 2019","['comedy', 'drama']","['Sean Bradley', 'Marguerite Moreau', 'Mel Eslyn', 'Stephen Oyoung', 'Ray Romano', 'Nathan M. Miller', 'Alana Carithers', 'Christine Woods', 'Mark Duplass', 'Ever Mainard', 'Dendrie Taylor', 'Alex Lehmann', 'Jay Duplass', 'Julian Wass', 'Kadeem Hardison', 'Matt Bush', 'Alexandra Billings']",['Alex Lehmann'],https://www.rottentomatoes.com/m/paddleton
Trishna,63,52,1h 57m,R,Head Gear Films,"Jul 13, 2012",,"Mar 30, 2016","['drama', 'romance']","['Melissa Parmenter', 'Compton Ross', 'Andrew Eaton', 'Marcel Zyskind', 'Roshan Seth', 'Harish Khanna', 'Phil Hunt', 'Michael Winterbottom', 'Anurag Kashyap', 'Shail Shah', 'Riz Ahmed', 'Freida Pinto', 'Neet Mohan', 'Aakash Dahiya', 'Mags Arnold', 'Kalki Koechlin']",['Michael Winterbottom'],https://www.rottentomatoes.com/m/trishna_2011
The Meddler,85,56,1h 40m,PG-13,Anonymous Content,"May 20, 2016",,"Sep 7, 2016","['comedy', 'drama']","['Steve Golin', 'Cecily Strong', 'Jerrod Carmichael', 'Sarah Baker', 'J.K. Simmons', 'Casey Wilson', 'Joy Gorman Wettels', 'Michael McKean', 'Kayla M. Emter', 'Rose Byrne', 'Shea Kammer', 'Jonathan Sadoff', 'Lucy Punch', 'Brett Pawlak', 'Lorene Scafaria', 'Jason Ritter', 'Paul Green', 'Susan Sarandon']",['Lorene Scafaria'],https://www.rottentomatoes.com/m/the_meddler_2016
One Track Heart: The Story of Krishna Das,67,50,1h 14m,,Substratum Films,"May 8, 2013",,"Mar 22, 2016","['music', 'documentary', 'biography']","['Jai Uttal', 'Mike Harrop', 'Rick Rubin', 'Jason Becker', 'Krishna Das', 'Andrew Jones', 'Jeremy Frindel', 'Ram Dass', 'Larry Brilliant']",['Jeremy Frindel'],https://www.rottentomatoes.com/m/one_track_heart_the_story_of_krishna_das_2012
Legendary,18,59,1h 47m,PG-13,WWE Studios,"Sep 10, 2010",,"Aug 10, 2016",['drama'],"['Danny Glover', 'John Posey', 'Madeleine Martin', 'David Calloway', 'Mel Damski', 'Patricia Clarkson', 'Devon Graye', 'John Cena', 'Tyler Posey']",['Mel Damski'],https://www.rottentomatoes.com/m/legendary
Almost Human,45,22,1h 20m,,Channel 83 Films,,,"Mar 30, 2017","['scifi', 'horror']","['Michael A. LoCicero', 'Anthony Ambrosino', 'Keri Dillard Ambrosino', 'Josh Ethier', 'Graham Skipper', 'Andy Garfield', 'Vanessa Leigh', 'Anne Mulhall', 'Jami Tennille', 'Susan T. Travers', 'Anthony Amaral III', 'Joe Begos', 'Chuck Doherty']",['Joe Begos'],https://www.rottentomatoes.com/m/almost_human_2012
Dolphin Tale 2,66,72,1h 47m,PG,Alcon Entertainment,"Sep 12, 2014",,"Apr 25, 2016","['kidsandfamily', 'drama', 'adventure']","['Charles Martin Smith', 'Cozi Zuehlsdorff', 'Andrew A. Kosove', 'Kris Kristofferson', 'Broderick Johnson', 'Richard Ingber', 'Morgan Freeman', 'Nathan Gamble', 'Robert Engelman', 'Daryn Okada', 'Austin Highsmith', 'David J. Bomba', 'Ashley Judd', 'Betsy Landin', 'Austin Stowell', 'Harry Connick Jr.', 'Juliana Harkavy', 'David Yates', 'Steven P. Wegner']",['Charles Martin Smith'],https://www.rottentomatoes.com/m/dolphin_tale_2
Batman: Gotham by Gaslight,75,66,1h 18m,R,,,,"Jan 23, 2018","['animation', 'adventure', 'mysteryandthriller']","['Bruce Greenwood', 'Yuri Lowenthal', 'Sam Liu', 'Sam Register', 'Bruce Timm', 'Benjamin Melniker', 'Michael E. Uslan', 'Frederik Wiedmann', 'Bob Joles', 'Scott Patterson', 'Anthony Head', 'William Salyers', 'Jennifer Carpenter', 'John DiMaggio', 'Grey DeLisle', 'James Krieg']",['Sam Liu'],https://www.rottentomatoes.com/m/batman_gotham_by_gaslight
Skyfall,92,86,2h 23m,PG-13,Eon Productions Ltd.,"Nov 9, 2012",,"Feb 4, 2017","['action', 'mysteryandthriller', 'adventure']","['Ola Rapace', 'Daniel Craig', 'Bérénice Lim Marlohe', 'John Logan', 'Michael G. Wilson', 'Judi Dench', 'Ralph Fiennes', 'Dennis Gassner', 'Ben Whishaw', 'Callum McDougall', 'Javier Bardem', 'Albert Finney', 'Barbara Broccoli', 'Robert Wade', 'Stuart Baird', 'Naomie Harris', 'Rory Kinnear', 'Sam Mendes', 'Neal Purvis', 'Roger Deakins']",['Sam Mendes'],https://www.rottentomatoes.com/m/skyfall
