title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Where's Daddy?,100,100,,,,,,,[],"['Rel Dowdell', 'Unknown Actor']",['Rel Dowdell'],https://www.rottentomatoes.com/m/wheres_daddy
Brad Paisley's Comedy Rodeo,60,,,,,,,,[],[],[],https://www.rottentomatoes.com/m/brad_paisleys_comedy_rodeo
The Sharks,82,,,,,,,,[],"['Federico Morosini', 'Romina Bentancur', 'Lucía Garibaldi', 'Valeria Lois', 'Fabián Arenillas']",['Lucía Garibaldi'],https://www.rottentomatoes.com/m/the_sharks
Plagues of Breslau,86,51,1h 33m,,Showmax,,,"Apr 22, 2020","['crime', 'drama', 'mysteryandthriller']","['Miroslaw Brozek', 'Maksymilian Michasiów', 'Igor Kujawski', 'Lukasz Targosz', 'Ewa Kasprzyk', 'Tomasz Widarski', 'Aniko Kiss', 'Katarzyna Bujakiewicz', 'Malgorzata Bednarek', 'Patryk Vega', 'Daria Widawska', 'Malgorzata Kozuchowska', 'Jacek Beler']",['Patryk Vega'],https://www.rottentomatoes.com/m/the_plagues_of_breslau
Friendsgiving,19,24,1h 35m,R,Red Hour Films,"Oct 23, 2020",,"Oct 23, 2020","['comedy', 'other']","['Chelsea Peretti', 'Ryan Hansen', 'Jack Donnelly', 'Christine Taylor', 'Kat Dennings', 'Jane Seymour', 'Malin Akerman', 'Wanda Sykes', 'Ben Stiller', 'Nicholas Weinstock', 'Tara L. Craig', 'Terry Dougas', 'Neil Shapiro', 'Aisha Tyler', 'Haroon Saleem', 'Deon Cole', 'Paris Kassidokostas-Latsis', 'Nicol Paone']",['Nicol Paone'],https://www.rottentomatoes.com/m/friendsgiving
Three Worlds,38,46,1h 40m,,,,,"Feb 11, 2017",['drama'],"['Arta Dobroshi', 'Reda Kateb', 'Laurent Capelluto', 'Adèle Haenel', 'Raphaël Personnaz', 'Benoît Graffin', 'Claire Mathon', 'Brigitte Moidon', 'Clotilde Hesme', 'Radivoje Bukvic', 'Grégoire Hetzel', 'Fabienne Vonier', 'Mathieu Menut', 'Catherine Corsini', 'Jean-Pierre Malo', 'Alban Aumard', 'Muriel Breton']",['Catherine Corsini'],https://www.rottentomatoes.com/m/three_worlds
Cold Turkey,60,65,1h 39m,PG-13,Tandem Productions,,,"Jan 17, 2017",['comedy'],"['Ray Goulding', 'Vincent Gardenia', 'Tom Poston', 'Barnard Hughes', 'Norman Lear', 'Dick Van Dyke', 'Jean Stapleton', 'Pippa Scott', 'Bob Elliott', 'Graham Jarvis', 'Edward Everett Horton']",['Norman Lear'],https://www.rottentomatoes.com/m/cold_turkey
Plot for Peace,76,82,1h 24m,,,,,"Oct 4, 2016","['history', 'mysteryandthriller', 'documentary', 'drama']","['Diego Ollivier', 'Carlos Agulló', 'Antony Partos', 'Pik Botha', 'Winnie Mandela', 'Rita Noriega', 'Mandy Jacobson', 'Stephen Smith']","['Carlos Agulló', 'Mandy Jacobson']",https://www.rottentomatoes.com/m/plot_for_peace
My Bakery in Brooklyn,43,15,1h 40m,,New Bakery Productions,"Jan 20, 2017",,"Mar 7, 2017","['comedy', 'drama']","['Beatriz Bodegas', 'Griffin Newman', 'Linda Moran', 'Blanca Suárez', 'Ramiro Acero', 'Aitor Luna', 'Ward Horton', 'Ernie Sabella', 'Francisco Zegers', 'Laura Weber', 'Miguel P. Gilaberte', 'Enrique Arce', 'Aimee Teegarden', 'Gustavo Ron', 'Krysta Rodriguez', 'Rene Bastian']",['Gustavo Ron'],https://www.rottentomatoes.com/m/bakery_in_brooklyn
Cropsey,91,61,1h 24m,,Antidote Films,,,"Dec 23, 2016","['documentary', 'horror', 'crime', 'drama', 'mysteryandthriller']","['Jeffrey Levy-Hinte', 'Barbara Brancaccio', 'Alex Lasarenko', 'Chad Davidson', 'Anita Gabrosek', 'Zachary Mortensen', 'Joshua Zeman']","['Barbara Brancaccio', 'Joshua Zeman']",https://www.rottentomatoes.com/m/cropsey
The Mystery of the Pink Flamingo,100,,1h 26m,,Japonica Films,,,"Dec 1, 2020",['documentary'],"['Rigo Pex', 'Gerard Rodriguez', 'John Waters', 'Guillermo Polo', 'Allee Willis', 'Merli Feixa', 'Eduardo Casanova', 'Javier Polo Gandía']",['Javier Polo Gandía'],https://www.rottentomatoes.com/m/the_mystery_of_the_pink_flamingo
The Last Photograph,67,57,1h 25m,,,,,"Sep 6, 2019",['drama'],"['Sarita Choudhury', 'Danny Huston']",['Danny Huston'],https://www.rottentomatoes.com/m/the_last_photograph_2017
Used People,44,37,1h 55m,PG-13,,,,"Dec 7, 2016",['drama'],"['Todd Graff', 'Shirley MacLaine', 'Charles Cioffi', 'Jessica Tandy', 'Rachel Portman', 'Joe Pantoliano', 'Mathew Branton', 'David Watkin', 'Beeban Kidron', 'Bob Dishy', 'John Tintori', 'Marcello Mastroianni', 'Sylvia Sidney', 'Kathy Bates', 'Marcia Gay Harden', 'Peggy Rajski', 'Michael Barnathan']",['Beeban Kidron'],https://www.rottentomatoes.com/m/used_people
Boyhood,97,80,2h 45m,R,Detour Filmproduction,"Jul 18, 2014",,"Jan 7, 2016",['drama'],"['Ellar Coltrane', 'Lorelei Linklater', 'Jordan Howard', 'Evie Thompson', 'Cathleen Sutherland', 'Jonathan Sehring', 'Rodney Becker', 'Nick Krause', 'Patricia Arquette', 'Shane Kelly', 'Lee Daniel', 'Richard Linklater', 'Sandra Adair', 'John Sloss', 'Tamara Jolaine', 'Ethan Hawke']",['Richard Linklater'],https://www.rottentomatoes.com/m/boyhood
Ask No Questions,100,86,1h 19m,,,,,"Jun 28, 2020",['documentary'],"['Eric Pedicelli', 'Elijah Marchand', 'Caylan Ford', 'Jason Loftus']","['Eric Pedicelli', 'Jason Loftus']",https://www.rottentomatoes.com/m/ask_no_questions
Videocracy,67,39,1h 25m,,Det Danske Filminstitut,,,"Jan 25, 2017",['documentary'],"['Axel Arnö', 'Krister Linder', 'Johan Söderberg', 'David Österberg', 'Erik Gandini', 'Manuel Alberto Claro', 'Mikael Olsen', 'Kristina Aberg']",['Erik Gandini'],https://www.rottentomatoes.com/m/videocracy
London: The Modern Babylon,89,82,2h 5m,,,,,"Feb 15, 2017",['documentary'],"['Amanda Temple', 'Rosa Bosch', 'Julien Temple', 'George Hencken', 'Steve Organ', 'Stephen Malit', 'Caroline Richards']",['Julien Temple'],https://www.rottentomatoes.com/m/london_the_modern_babylon
Monogamy,48,27,1h 36m,,TBD,"Mar 11, 2011",,"Mar 8, 2017",['drama'],"['Madison Arnold', 'Neal Huff', 'Zak Orth', 'Ivan Martin', 'Hannah Gilli', 'Paul Diomede', 'Jeffrey V. Mandel', 'Meital Dohan', 'Dana Adam Shapiro', 'Tim Duff', 'Chuck Goodgal', 'Randy Manis', 'Doug Emmett', 'Rashida Jones', 'Sarah Burns', 'Chris Messina', 'Evan M. Wiener', 'Tom Heller']",['Dana Adam Shapiro'],https://www.rottentomatoes.com/m/monogamy
All Good Things,35,37,1h 41m,R,Groundswell Productions,"Dec 17, 2010",,"Dec 5, 2016",['mysteryandthriller'],"['Nick Offerman', 'Lily Rabe', 'Andrew Jarecki', 'Bruna Papandrea', 'Ryan Gosling', 'Michael London', 'Frank Langella', 'Kristen Wiig', 'Marcus Hinchey', 'Michael Esper', 'Harvey Weinstein', 'Marc Smerling', 'Bob Weinstein', 'Kirsten Dunst', 'Philip Baker Hall', 'Michelle Krumm']",['Andrew Jarecki'],https://www.rottentomatoes.com/m/all_good_things
The Invitation,89,69,1h 39m,,,"Apr 8, 2016",,"Aug 10, 2016","['drama', 'mysteryandthriller']","['Logan Marshall-Green', 'Matt Manfredi', 'Martha Griffin', 'Tammy Blanchard', 'Bobby Shore', 'Karl Yune', 'Theodore Shapiro', 'Jay Larson', 'Karyn Kusama', 'Michelle Krusiec', 'Nick Spicer', 'Phil Hay', 'Plummy Tucker', 'Michiel Huisman', 'Mike Doyle', 'Jordi Vilasuso', 'Emayatzy Corinealdi', 'Lindsay Burdge']",['Karyn Kusama'],https://www.rottentomatoes.com/m/the_invitation
The Warrior's Way,31,47,1h 40m,R,Mike's Movies,"Dec 3, 2010",,"Jun 23, 2011","['action', 'western', 'fantasy', 'sportsandfitness']","['Michael Peyser', 'Jang Dong-gun', 'Markus Hamilton', 'Eui Hong', 'Ti Lung', 'Danny Huston', 'Seung Jae Tcha', 'Satoru Iseki', 'Tim White', 'Sngmoo Lee', 'Geoffrey Rush', 'Nansun Shi', 'Barrie M. Osborne', 'Kate Bosworth', 'Jooick Lee', 'Tony Cox', 'Analin Rudd']",['Sngmoo Lee'],https://www.rottentomatoes.com/m/the-warriors-way
Begin Again,83,81,1h 44m,R,Exclusive Media,"Jul 2, 2014",,"Dec 5, 2016","['comedy', 'drama', 'romance']","['Catherine Keener', 'Anthony Bregman', 'Mark Ruffalo', 'James Corden', 'Tobin Armbrust', 'Maddie Corman', 'Guy East', 'Judd Apatow', 'Ben Nearn', 'CeeLo Green', 'Adam Levine', 'Hailee Steinfeld', 'Nigel Sinclair', 'Tom Rice', 'Keira Knightley', 'John Carney', 'Sam Hoffman', 'Yasiin Bey']",['John Carney'],https://www.rottentomatoes.com/m/begin_again_2013
Museum Hours,95,60,1h 47m,,,"Jun 28, 2013",,"Aug 10, 2016",['drama'],"['Patti Smith', 'Ela Piplits', ""Mary Margaret O'Hara"", 'Peter Röhsler', 'Gabriele Kranzelbinder', 'Jem Cohen', 'Bobby Sommer', 'Guy Picciotto', 'Paolo Calamita']",['Jem Cohen'],https://www.rottentomatoes.com/m/museum_hours
The Laundromat,41,40,1h 36m,R,Anonymous Content,"Sep 27, 2019",,"Oct 18, 2019",['comedy'],"['Scott Z. Burns', 'Michael Sugar', 'Jake Bernstein', 'Lawrence Grey', 'Sharon Stone', 'Steven Soderbergh', 'Gregory Jacobs', 'Jeffrey Wright', 'Robert Patrick', 'Antonio Banderas', 'Gary Oldman', 'Meryl Streep', 'David Schwimmer', 'Douglas Urbanski', 'Ben Everard']",['Steven Soderbergh'],https://www.rottentomatoes.com/m/the_laundromat
Amateur Night,0,25,1h 33m,,Punch Media,"Aug 5, 2016",,"Oct 6, 2016",['comedy'],"['Ashley Tisdale', 'Bria Murphy', 'Samuel Goldberg', 'Jenny Mollen', 'Shana Eddy-Grouf', 'Steven Weber', 'Jason Biggs', 'Jorge Garcia Castro', 'Mary Pat Bentel', 'Adrian Voo', 'Lisa Addario', 'Joe Syracuse', 'Jackie Levine', 'Janet Montgomery', 'Cedric Yarbrough', 'Diego Del Río Toca']","['Lisa Addario', 'Joe Syracuse']",https://www.rottentomatoes.com/m/amateur_night_2016
God Loves Uganda,100,77,1h 30m,,Full Credit Productions,"Oct 11, 2013",,"Mar 11, 2017","['gayandlesbian', 'documentary']","['Derek Wiesehahn', 'Julie Goldman', 'Richard Hankin', 'Roger Ross Williams', 'Scott Lively', 'Jake Clennell', 'Mette Hoffman', 'Benjamin Gray']",['Roger Ross Williams'],https://www.rottentomatoes.com/m/god_loves_uganda_2013
Red 2,44,63,1h 56m,PG-13,Di Bonaventura Pictures,"Jul 19, 2013",,"May 4, 2015","['action', 'comedy']","['Enrique Chediak', 'Dean Parisot', 'Lorenzo di Bonaventura', 'Mark Vahradian', 'Mary-Louise Parker', 'Brian Cox', 'Helen Mirren', 'Jim Clay', 'John Malkovich', 'Neal McDonough', 'Jake Myers', 'Anthony Hopkins', 'David Ready', 'Don Zimmerman', 'Bruce Willis', 'Erich Hoeber', 'David Thewlis', 'Jon Hoeber', 'Catherine Zeta-Jones', 'Lee Byung-hun']",['Dean Parisot'],https://www.rottentomatoes.com/m/red_2
Soul,95,88,1h 40m,PG,Pixar Animation Studios,,,"Dec 25, 2020","['comedy', 'kidsandfamily', 'animation', 'adventure']","['Kevin Nolting', 'Richard Ayoade', 'Alice Braga', 'Dan Scanlon', 'Pete Docter', 'Daveed Diggs', 'Jamie Foxx', 'Phylicia Rashad', 'Rachel House', 'Angela Bassett', 'Kemp Powers', 'Mike Jones', 'Kiri Hart', 'Tina Fey', 'Ahmir ""Questlove"" Thompson', 'Dana Murray', 'Graham Norton', 'Trent Reznor']",['Pete Docter'],https://www.rottentomatoes.com/m/soul_2020
King of Thieves,33,26,1h 48m,R,Working Title Films,"Jan 25, 2019",,"Jan 25, 2019","['comedy', 'drama']","['Jim Broadbent', 'Ray Winstone', 'Eric Fellner', 'Michael Caine', 'Michelle Wright', 'Nick Moore', 'James Marsh', 'Tom Courtenay', 'Paul Whitehouse', 'Francesca Annis', 'Charlie Cox', 'Michael Gambon', 'Joe Penhall', 'Ali Jaafar', 'Jinx Godfrey', 'Danny Cohen', 'Benjamin Wallfisch', 'Tim Bevan']",['James Marsh'],https://www.rottentomatoes.com/m/king_of_thieves_2019
That Awkward Moment,22,46,1h 34m,R,Treehouse Pictures,"Jan 31, 2014",,"May 3, 2015",['romance'],"['Scott Aversano', 'Miles Teller', 'Addison Timlin', 'Justin Nappi', 'Tina Benko', 'Tom Gormican', 'Jason Barrett', 'Kevin Turen', 'Manu Gargi', 'Josh Pais', 'John Rothman', 'Mackenzie Davis', 'Zac Efron', ""Andrew O'Connor"", 'Imogen Poots', 'Michael Simkin', 'Michael B. Jordan', 'Jessica Lucas']",['Tom Gormican'],https://www.rottentomatoes.com/m/that_awkward_moment
Booksmart,96,77,1h 42m,R,Gloria Sanchez Productions,"May 24, 2019",,"Aug 20, 2019","['comedy', 'gayandlesbian']","['Will Forte', 'Katie Silberman', 'Emily Halpern', 'Diana Silvers', 'Olivia Wilde', 'Susanna Fogel', 'Beanie Feldstein', 'Mason Gooding', 'Megan Ellison', 'Chelsea Barnard', 'Jessica Williams', 'David Distenfeld', 'Kaitlyn Dever', 'Jessica Elbaum', 'Jason Sudeikis', 'Lisa Kudrow', 'Sarah Haskins', 'Skyler Gisondo', 'Victoria Ruesga']",['Olivia Wilde'],https://www.rottentomatoes.com/m/booksmart
Mesrine: Part II - Public Enemy 1,81,82,2h 10m,R,120 Films,,,"Mar 7, 2017","['biography', 'action', 'crime', 'drama', 'mysteryandthriller']","['Daniel Delume', 'Michel Duchaussoy', 'Georges Wilson', 'Maxime Rémillard', 'Andre Rouleau', 'Samuel Le Bihan', 'Anne Consigny', 'Gérard Lanvin', 'Vincent Cassel', 'Olivier Gourmet', 'Myriam Boyer', 'Abdel Raouf Dafri', 'Thomas Langmann', 'Ludivine Sagnier', 'Jean-François Richet', 'Mathieu Amalric']",['Jean-François Richet'],https://www.rottentomatoes.com/m/mesrine_killer_instinct
Our Blood Is Wine,83,,1h 18m,,Morgan Station Films,"Mar 9, 2018",,"Mar 22, 2018",['documentary'],"['Luarsab Togonidze', 'Giorgi Natenadze', 'Jeremy Quinn', 'Gabriel Dib', 'William Schopf', 'Mariam Iosebidze', 'Anna Lindholm', 'Bruce Sheridan', 'Emily Railsback', 'Ed Arentz', 'Ramaz Nikoladze']",['Emily Railsback'],https://www.rottentomatoes.com/m/our_blood_is_wine
The Interview,51,48,1h 51m,R,Point Grey,"Jan 2, 2015",,"Mar 3, 2015","['action', 'comedy', 'adventure']","['Dominique Lalonde', 'Ariel Shaffir', 'Seth Rogen', 'Timothy Simons', 'James Franco', 'Lizzy Caplan', 'Dan Sterling', 'James Yi', 'Paul Bae', 'James Weaver', 'Geoff Gustafson', 'Randall Park', 'Evan Goldberg', 'Diana Bang', 'Kyle Hunter']","['Evan Goldberg', 'Seth Rogen']",https://www.rottentomatoes.com/m/the_interview_2014
Therese,41,34,1h 42m,R,LD Entertainment,"Feb 21, 2014",,"Apr 14, 2016","['drama', 'mysteryandthriller']","['John Kavanagh', 'Mickey Liddell', 'Richard Sharkey', 'Pete Shilaimon', 'Florian Hoffmeister', 'Oscar Isaac', 'William Horberg', 'Jessica Lange', 'Matt Lucas', 'Charlie Stratton', 'Jennifer Monroe', 'Shirley Henderson', 'Elizabeth Olsen', 'Tom Felton', 'Uli Hanisch', 'Mackenzie Crook']",['Charlie Stratton'],https://www.rottentomatoes.com/m/in_secret
Alice Through the Looking Glass,29,48,1h 53m,PG,Team Todd,"May 27, 2016",,"Oct 18, 2016","['fantasy', 'adventure']","['Joe Roth', 'Jennifer Todd', 'Helena Bonham Carter', 'Anne Hathaway', 'Michael Sheen', 'Rhys Ifans', 'Timothy Spall', 'Johnny Depp', 'James Bobin', 'Suzanne Todd', 'Mia Wasikowska', 'Stephen Fry', 'Sacha Baron Cohen', 'Tim Burton', 'Linda Woolverton', 'Andrew Weisblum', 'Stuart Dryburgh', 'Alan Rickman', 'John G. Scotti', 'Danny Elfman']",['James Bobin'],https://www.rottentomatoes.com/m/alice_in_wonderland_through_the_looking_glass
Unbroken: Path to Redemption,38,76,1h 38m,PG-13,Matt Baer Films,"Sep 14, 2018",,"Nov 27, 2018","['history', 'drama', 'biography']","['David Sakurai', 'Matthew Baer', 'Harold Cronk', 'Cynthia Garris', 'Erik Weir', 'Maddalena Ischiale', 'Merritt Patterson', 'Andrew Caldwell', 'Michael Scott', 'Gianna Simone', 'Bobby Campo', 'Will Graham', 'Richard Friedenberg', 'Luke Zamperini', 'Bill Reeves', 'Mike Elliott', 'Ali Eagle', 'Ken Hixon', 'Samuel Hunt', 'Vincenzo Amato']",['Harold Cronk'],https://www.rottentomatoes.com/m/unbroken_path_to_redemption
Shaft,33,94,1h 51m,R,Khalabo Ink Society,"Jun 14, 2019",,"Sep 10, 2019","['action', 'comedy']","['Jessie T. Usher', 'Alexandra Shipp', 'Matt Lauria', 'Titus Welliver', 'Regina Hall', 'Samuel L. Jackson', 'Josh Mack', 'Isaach De Bankolé', 'Richard Brener', 'Kenya Barris', 'Marc S. Fischer', 'Alex Barnow', 'Avan Jogia', 'Tim Story', 'Richard Roundtree', 'John Davis', 'Cliff ""Method Man"" Smith', 'Ira Napoliello']",['Tim Story'],https://www.rottentomatoes.com/m/shaft_2019
J. Edgar,43,44,2h 17m,R,Malpaso Company,"Nov 11, 2011",,"Feb 2, 2014","['history', 'drama', 'biography']","['Gary D. Roach', 'Judi Dench', 'Erica Huggins', 'Ken Howard', 'Jeffrey Donovan', 'Tom Stern', 'Dustin Lance Black', 'Clint Eastwood', 'Brian Grazer', 'David A. Cooper', 'Josh Lucas', 'Naomi Watts', 'Dermot Mulroney', 'Armie Hammer', 'Tim Moore', 'Leonardo DiCaprio', 'Robert Lorenz', 'Joel Cox', 'Gunner Wright']",['Clint Eastwood'],https://www.rottentomatoes.com/m/j_edgar
T2 Trainspotting,81,78,1h 57m,R,Creative Scotland,"Mar 17, 2017",,"Jun 13, 2017","['comedy', 'drama']","['Christian Colson', 'Anjela Nedyalkova', 'Ewan McGregor', 'Anthony Dod Mantle', 'Irvine Welsh', 'John Hodge', 'Kelly Macdonald', 'Danny Boyle', 'James Cosmo', 'Allon Reich', 'Andrew Macdonald', 'Bernard Bellew', 'Jon Harris', 'Ewen Bremner', 'Jonny Lee Miller', 'Shirley Henderson', 'Robert Carlyle']",['Danny Boyle'],https://www.rottentomatoes.com/m/t2_trainspotting
Andre Gregory: Before and After Dinner,75,73,1h 48m,,,"Apr 3, 2013",,"Mar 11, 2017",['documentary'],['Cindy Kleine'],['Cindy Kleine'],https://www.rottentomatoes.com/m/andre_gregory_before_and_after_dinner
Easy Living,78,76,1h 20m,,UnLTD Productions,"Sep 15, 2017",,"Sep 19, 2017","['comedy', 'drama']","['David Aaron Baker', 'Laura Wagner', 'Caroline Dhavernas', 'Charlie Hofheimer', 'Jason Dreyer', 'McCaleb Burnett', 'Daniel Eric Gold', 'Taylor Richardson', 'David Moscow', 'Todd Remis', 'James West', 'Adam Keleman', 'Drew DeNicola', 'Jen Richards', 'Christopher Radcliff', 'C.J. Wilson', 'Mary Catherine Garrison', 'Elizabeth Marvel']",['Adam Keleman'],https://www.rottentomatoes.com/m/easy_living_2017
Dawn Patrol,0,11,1h 28m,,,"Jun 5, 2015",,"May 22, 2016",['drama'],"['Scott Eastwood', 'Sean E. DeMott', 'Rachel Long', 'Brandon Barrera', 'Kim Matula', 'Arthur Dessein', 'Daniel Petrie Jr.', 'Matt DiNicola', 'Julie Carmen', 'Jeff Fahey', 'Rita Wilson', 'Dendrie Taylor', 'Rick Dugdale', 'Chris Brochu', 'David James Elliott', 'Brian Pittman']",['Daniel Petrie Jr.'],https://www.rottentomatoes.com/m/dawn_patrol_2015
Vivan las Antipodas!,100,77,1h 48m,,,,,"Mar 11, 2017",['documentary'],"['Achim Pfeffer', 'Heino Deckert', 'Gema Juarez Allen', 'Victor Kossakovsky', 'Alexander Rodnyansky', 'Alexander Popov']",['Victor Kossakovsky'],https://www.rottentomatoes.com/m/vivan_las_antipodas_2012
Richard Pryor: Omit the Logic,86,75,1h 30m,R,Fresh One Productions,,,"Nov 30, 2016","['comedy', 'documentary']",['Marina Zenovich'],['Marina Zenovich'],https://www.rottentomatoes.com/m/richard_pryor_omit_the_logic_2013
Attack of the Lederhosen Zombies,55,38,1h 18m,,Fischer Film,"Jan 13, 2017",,"Feb 17, 2017","['comedy', 'horror']","['Margarete Tiesel', 'Oscar Dyekjær Giese', 'Patricia Aulitzky', 'Laurie Calvert', 'Markus Fischer', 'Andreas Thalhammer', 'Sarah Leung', 'Armin Prediger', 'Paul Gallister', 'Florian Kaposi', 'Kari Rakkola', 'Xiaosu Han', 'Dominik Hartl', 'Gabriela Marcinkova', 'Daniel Prochaska', 'Karl Fischer']",['Dominik Hartl'],https://www.rottentomatoes.com/m/attack_of_the_lederhosen_zombies
Dating Amber,96,86,1h 32m,,VOO,,,"Nov 10, 2020","['comedy', 'gayandlesbian', 'drama']","[""Evan O'Connor"", 'Rory Dungan', 'Joe Sawyer', 'Emma Willis', ""Rachael O'Kane"", ""Ian O'Reilly"", ""Fionn O'Shea"", 'Sharon Horgan', 'Andy Mayson', 'Lola Petticrew', 'Will Clarke', ""Ruairi O'Brien"", 'David Freyne', 'Barry Ward', 'Simone Kirby', 'John Keville']",['David Freyne'],https://www.rottentomatoes.com/m/dating_amber
The Art of the Steal,85,87,1h 41m,,9.14 Pictures,"Feb 26, 2010",,"Mar 24, 2016",['documentary'],"['Demian Fenton', 'Sheena M. Joyce', 'West Thordson', 'Don Argott', 'Lenny Feinberg']",['Don Argott'],https://www.rottentomatoes.com/m/art_of_the_steal
Nobody Else but You,84,67,1h 43m,,CinéCinéma,,,"Oct 18, 2016","['crime', 'drama']","['Clara Ponsot', 'Arsinée Khanjian', 'Eric Ruf', 'Nicolas Robin', 'Juliette Sales', 'Jean-Paul Rouve', 'Sophie Quinton', 'Gerald Hustasche-Mathieu', 'Olivier Rabourdin', 'Lyès Salem', 'Guillaume Gouix']",['Gerald Hustasche-Mathieu'],https://www.rottentomatoes.com/m/nobody_else_but_you
Rift,93,66,1h 51m,,Hero Productions,,,"Nov 21, 2017","['mysteryandthriller', 'gayandlesbian', 'drama', 'horror']","['James Huntsman', 'Aðalbjörg Árnadóttir', 'Böðvar Óttar Steindórsson', 'Sigurður Þór Óskarsson', 'Anna Eva Steindórsdóttir', 'Todd Slater', 'Einar Sv. Tryggvason', 'Gunnar Helgi Guðjónsson', 'Björn Stefánsson', 'Guðmundur Ólafsson', 'Bui Baldvinsson', 'John Wakayama Carey', 'Baldvin Kári', 'Erlingur Thoroddsen']",['Erlingur Thoroddsen'],https://www.rottentomatoes.com/m/rift
45 Years,97,67,1h 33m,R,The Bureau,"Dec 23, 2015",,"Jun 14, 2016",['drama'],"['Charlotte Rampling', 'David Sibley', 'Lol Crawley', 'Sam Alexander', 'Tom Courtenay', 'Geraldine James', 'Andrew Haigh', 'Tristan Goligher', 'Jonathan Alberts', 'Dolly Wells', 'Hannah Chalmers', 'Sarah Finlay', 'Richard Cunningham', 'Suzie Harman', 'Kahleen Crawford']",['Andrew Haigh'],https://www.rottentomatoes.com/m/45_years
Stella Days,60,30,1h 27m,,,"Jun 22, 2012",,"Aug 10, 2016",['drama'],"['Dermot Diskin', 'Trystan Gravelle', 'Antoine O. Flatharta', 'Judith Williams', 'Amy Huberman', ""Joseph O'Sullivan"", ""Thaddeus O'Sullivan"", 'Martin Sheen', 'Maggie Pope', 'John Christian Rosenlund', 'Marcella Plunkett', 'Derble Crotty', 'Tom Hickey', 'Amy Rowan', 'Stephen Rea', 'Ruth McCabe', 'Anna Rackard', 'Jacqueline Larkin', 'Lesley McKimm']","[""Thaddeus O'Sullivan""]",https://www.rottentomatoes.com/m/stella_days
Devil's Due,18,21,1h 30m,R,Davis Entertainment,"Jan 17, 2014",,"Nov 1, 2015",['horror'],"['Matt Bettinelli-Olpin', 'Rod Dean', 'Sam Anderson', 'Julia Denton', 'John Davis', 'Zach Gilford', 'Vanessa Ray', 'Allison Miller', 'James Dodson', 'Justin Martinez', 'Geraldine Singer', 'Roger Payano', 'Brittany Morrissey', 'Colin Walker', 'Madison Wolfe', 'Chad Villella', 'Lindsay Devlin', 'Tyler Gillett', 'Bill Martin Williams']","['Matt Bettinelli-Olpin', 'Tyler Gillett']",https://www.rottentomatoes.com/m/devils_due
Telstar,79,69,1h 59m,,,,,"Apr 24, 2016","['music', 'drama', 'biography']","['Tom Burke', 'James Corden', 'Pam Ferris', 'Sid Mitchell', 'Alex Marsh', 'Ralf Little', 'David Groves', 'Simon Jordan', 'James Hicks', 'Kevin Spacey', 'Adam Bohling', 'Ilan Eshkeri', 'David Reid', 'JJ Feild', ""Con O'Neill"", 'Peter Wignall', 'Mathew Baynton', 'Nick Moran', 'Shaun Evans']",['Nick Moran'],https://www.rottentomatoes.com/m/telstar_the_joe_meek_story
Sexual Chronicles of a French Family,0,27,1h 17m,,Canal+,,,"Jan 3, 2017",['comedy'],"['Pascal Arnold', 'Stephan Hersoen', 'Adeline Rebeillard', 'Julien Bonvicini', 'Yan Brian', 'Valérie Maës', 'Nicolas Coppermann', 'Leïla Denio', 'Mathias Melloul', 'Vanessa Fourgeaud', 'Laetitia Favart', 'Teddy Vermeulin', 'Jean-Marc Barr', 'Grégory Annoni', 'Nathan Duval', 'Lucy Allwood']","['Pascal Arnold', 'Jean-Marc Barr']",https://www.rottentomatoes.com/m/chroniques_sexuelles_dune_famille_daujourdhui
Lost River,32,38,1h 45m,R,Marc Platt Productions,"Apr 10, 2015",,"Dec 15, 2015","['fantasy', 'mysteryandthriller']","['Reda Kateb', 'Saoirse Ronan', 'Landyn Stewart', 'Marc Platt', 'Ryan Gosling', 'Gary Michael Walters', 'Matt Smith', 'Adam Siegel', 'Jeffrey Stott', 'Noaz Deshe', 'Christina Hendricks', 'Barbara Steele', 'Iain De Caestecker', 'Benoît Debie', 'Eva Mendes', 'Michel Litvak', 'David Lancaster', 'Ben Mendelsohn']",['Ryan Gosling'],https://www.rottentomatoes.com/m/lost_river_2015
The Secret Lives of Dorks,11,40,1h 31m,PG-13,Indomitable Entertainment,"Sep 27, 2013",,"Feb 23, 2017",['comedy'],"['Jennifer Tilly', 'William Katt', 'Beau Mirchoff', 'Gaelan Connell', 'Emma Collin', 'David Tice', 'Salomé Breziner', 'Nicholas David Brandt', 'Kay Lenz', 'Steven J. Wolfe', 'Jim Belushi', 'Johnny Severin', 'Seymour Cassel', 'Charlie Stewart', 'Stephen Israel', 'Dominic Ianno', 'Stephen Margolis', 'Riley Voelkel', 'Vanessa Marano', 'David Lawley']",['Salomé Breziner'],https://www.rottentomatoes.com/m/the_secret_lives_of_dorks_2013
