,title,user_rate,meta_score,certificate,run_time,genre,description
73,The Dark Knight Rises,8.4,78        ,PG-13,164 min,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
74,Call the Midwife,8.4,,TV-PG,60 min,"Drama, History",Chronicles the lives of a group of midwives living in East London in the late-1950s to mid-1960s.
75,Harry Potter and the Deathly Hallows: Part 2,8.1,85        ,PG-13,130 min,"Adventure, Drama, Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
76,Wander,4.9,54        ,R,94 min,Thriller,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter."
77,Rio,6.9,63        ,G,96 min,"Animation, Adventure, Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
78,Captain America: The First Avenger,6.9,66        ,PG-13,124 min,"Action, Adventure, Sci-Fi","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
79,Midsommar,7.1,72        ,R,148 min,"Drama, Horror, Mystery",A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
80,Avengers: Infinity War,8.4,68        ,PG-13,149 min,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
81,Concrete Cowboy,6.3,67        ,R,111 min,Drama,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys."
82,Captain America: The Winter Soldier,7.7,70        ,PG-13,136 min,"Action, Adventure, Sci-Fi","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
83,The Gentlemen,7.8,51        ,R,113 min,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
84,Justice League,6.2,45        ,PG-13,120 min,"Action, Adventure, Fantasy","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
85,Blade Runner 2049,8,81        ,R,164 min,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
