,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
817,817,Disclosure,100,,,,,,,"Jun 26, 2020",['drama'],"{'Mark Carey', 'Mark Leonard Winter', 'Lucy McMurray', 'Greg Stone', 'Kieran Cochrane', 'Matilda Ridgway', 'Geraldine Hakewill', 'Tony Dupé', 'Tom Wren', 'Ryan Wade Howard', 'Juliet John', 'Erin Roche', 'Shaun Miller', 'Donna Lyon', 'Sunday Emerson Gullifer', 'Michael Bentham'}",{'Michael Bentham'},https://www.rottentomatoes.com/m/disclosure_2020
818,818,Waves,84,81,2h 15m,,,"Nov 15, 2019",,"Nov 15, 2019",['drama'],"{'Taylor Russell', 'Sterling K. Brown', 'David Garelik', 'Kelvin Harrison Jr.', 'Jim Wilson', 'Lucas Hedges', 'Clifton Collins Jr.', 'Bill Wise', 'Renee Elise Goldsberry', 'Alexa Demie', 'Neal Huff', 'Trey Edward Shults', 'Kevin Turen'}",{'Trey Edward Shults'},https://www.rottentomatoes.com/m/waves_2019
819,819,ThenCameYou,56,51,1h 37m,,,"Sep 30, 2020",,"Oct 2, 2020",['romance'],"{'Vito DeSario', 'Matthew T. Weiner', 'Ford Kiernan', 'Rosemary Dickson', 'Kathie Lee Gifford', 'Brett James', 'Craig Ferguson', 'Katarina Demetriades', 'Calum Chisholm', 'Reynaldo Villalobos', 'Sal Olivari', 'Phyllida Law', 'Adriana Trigiani', 'Andy Harris'}",{'Adriana Trigiani'},https://www.rottentomatoes.com/m/then_came_you_2020
820,820,Alone,25,,1h 32m,,,"Oct 16, 2020",,"Oct 16, 2020","['horror', 'mysteryandthriller']","""{'Greg Fitzpatrick', 'Eric Weiler', 'Phil Norden', 'Donald Sutherland', 'Martim Vian', 'Tyler Posey', """"Robert Ri'chard""""", 'Jonathan Peacy', 'Johnny Martin'
821,821,Prey,13,20,1h 25m,,,"Sep 27, 2019",,"Sep 27, 2019","['horror', 'mysteryandthriller']","{'Phodiso Dintwe', 'Kristine Froseth', 'Logan Miller', 'David Coggeshall', 'Franck Khalfoun', 'Anthony Jensen', 'Jody Mortara', 'Jason Blum', 'Travis Cluff', 'Alix Taylor', 'Joey Adanalian', 'Jolene Anderson', 'Ashok Amritraj', 'Eric Robbins', 'Couper Samuelson', 'Chris Lofing', 'Josiah Thiesen'}",{'Franck Khalfoun'},https://www.rottentomatoes.com/m/prey_2018
822,822,RideYourWave,93,88,1h 34m,,,,,"Aug 4, 2020","['anime', 'comedy']","{'Masaaki Yuasa', 'Ryôta Katayose', 'Rina Kawaei'}",{'Masaaki Yuasa'},https://www.rottentomatoes.com/m/ride_your_wave
823,823,WorkingMan,93,79,1h 49m,,,,,"May 5, 2020",['drama'],"{'Billy Brown', 'Shanésia Davis', 'Bea Cordelia', 'Clark Peterson', 'Katherine Eslao', 'Talia Shire', 'Michael Brunlieb', 'Maya Emelle', 'Lovell Holder', 'Robert Jury', 'Lee V. Stiff', 'Josette DiCarlo', 'Peter Gerety', 'Morgan R. Stiff', 'Tim Ranzetta', 'Catherine Dickson'}",{'Robert Jury'},https://www.rottentomatoes.com/m/working_man
824,824,Flannery,74,100,1h 37m,,,,,"Jul 17, 2020",['documentary'],"""{'Bob Hercules', 'Mark Bosco', 'Elizabeth Coffman', 'Ted Hardin', """"Christopher O'Hare"""""," 'Miriam Cutler'}""","{'Elizabeth Coffman,                                                     Mark Bosco'}"
825,825,MilitaryWives,77,55,1h 52m,,,,,"May 22, 2020","['drama', 'comedy']","{'Piers Tempest', 'Emma Berkofsky', 'Gaby French', 'Liz Gallacher', 'Lara Rossi', 'Sharon Horgan', 'Jason Flemyng', 'Greg Wise', 'Emma Lowndes', 'Rory Aitken', 'Rosanne Flynn', 'Rachel Tunnard', 'Amy James-Kelly', 'Kristin Scott Thomas', 'Peter Cattaneo', 'Ben Pugh', 'René Besson', 'Jo Bamford'}",{'Peter Cattaneo'},https://www.rottentomatoes.com/m/military_wives
826,826,LostTransmissions,54,48,1h 45m,,,"Mar 13, 2020",,"Mar 11, 2020",['drama'],"""{'Grant Harvey', 'Al Di', 'Alan Li', 'Simon Pegg', 'Tao Okamoto', 'Juno Temple', 'Jamie Harris', 'Filip Jan Rymsza', 'Bo An', 'Thomas Benski', 'Brian Levy', 'Olga Kagan', 'Tory Lenosky', """"Katharine O'Brien""""", 'Rebecca Hazlewood', 'Alexandra Daddario'
827,827,LucyintheSky,21,31,2h 4m,,,"Oct 4, 2019",,"Oct 26, 2019",['drama'],"{'Natalie Portman', 'Bruna Papandrea', 'Jeremiah Birkett', 'Tig Notaro', 'Dan Stevens', 'Pearl Amanda Dickson', 'Reese Witherspoon', 'Elliott DiGuiseppi', 'Zazie Beetz', 'Brian C. Brown', 'John Cameron', 'Molly Allen', 'Colman Domingo', 'Ellen Burstyn', 'Nick Offerman', 'Jon Hamm', 'Noah Hawley'}",{'Noah Hawley'},https://www.rottentomatoes.com/m/lucy_in_the_sky
