,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
0,0,SeahorseTheDadWhoGaveBirth,100,,1h 31m,,,,,"Jun 16, 2020",['documentary'],"{'Andrea Cornwell', 'Tara Creme', 'Jeanie Finlay', 'Patrick Vernon', 'Alice Powell', 'Orlando von Einsiedel'}",{'Jeanie Finlay'},https://www.rottentomatoes.com/m/seahorse_the_dad_who_gave_birth_2019
1,1,TwointheBushALoveStory,100,80,1h 37m,,,,,"Dec 12, 2019","['gayandlesbian', 'drama', 'comedy']","{'Travis Delgado', 'Angela Morris', 'Kelly Owens', 'Sarah Mitchell', 'Caitlin Aase', 'Kieran Dotti', 'Robert Stockwell', 'Melissa DuPrey', 'Mike Schminke', 'Brittany Wagner', 'Anna Roberts', 'Shaun Baer', 'Laura Madalinski', 'Brian Volk-Weiss', 'Kelly Haas', 'Adriana Leonard'}",{'Laura Madalinski'},https://www.rottentomatoes.com/m/2_in_the_bush_a_love_story_2019
2,2,Gundala,83,74,2h 3m,,,,,"Jul 28, 2020","['adventure', 'action', 'scifi']","{'Dinda Amanda', 'Joko Anwar', 'Abimana Aryasatya', 'Lukman Sardi', 'Bismarka Kurniawan', 'Robert Ronny', 'Arswendi Nasution', 'Bembi Gusti', 'Sukhdev Singh', 'Bront Palarae', 'Ical Tanjung', 'Wicky V. Olindo', 'Tara Basro', 'Erick Thohir', 'Ario Bayu'}",{'Joko Anwar'},https://www.rottentomatoes.com/m/gundala
3,3,SometimesAlwaysNever,82,69,1h 31m,,,"Mar 6, 2020",,"Jul 9, 2020","['drama', 'comedy']","{'Roy Boulter', 'Alice Lowe', 'Carl Hunter', 'Oliver Sindcup', 'John Westley', 'Charlie Dombek', 'Matthew Helderman', 'Jenny Agutter', 'Andrea Gibson', 'Tim McInnerny', 'Ella-Grace Gregoire', 'Bill Nighy', 'Frank Cottrell Boyce', 'Alan Latham', 'Sam Riley', 'Alastair Burlingham', 'Sol Papadopoulos', 'Kirsty Bell', 'Louis Healy'}",{'Carl Hunter'},https://www.rottentomatoes.com/m/sometimes_always_never
4,4,IntheTallGrass,36,33,1h 30m,,,,,"Oct 18, 2019","['horror', 'drama']","{'Harrison Gilbertson', 'Tiffany Helm', 'Steven Hoban', 'Laysla De Oliveira', 'Rachel Wilson', 'Gloria Fan', 'Patrick Wilson', 'Will Buie Jr.', 'Vincenzo Natali', 'Avery Whitted'}",{'Vincenzo Natali'},https://www.rottentomatoes.com/m/in_the_tall_grass_2019
5,5,NeverRarelySometimesAlways,99,48,1h 41m,,,"Mar 13, 2020",,"Apr 3, 2020",['drama'],"{'Adele Romanski', 'Ryan Eggold', 'Rose Garnett', 'Sharon Van Etten', 'Lester Greene', 'Sara Murphy', 'Elika Portnoy', 'Eliza Hittman', 'Lia Buman', 'Kim Rios Lin', 'Tim Headington', 'Sidney Flanigan', 'Drew Seltzer', 'Mark Ceryak', 'Alex Orlovsky', 'Théodore Pellerin', 'Talia Ryder'}",{'Eliza Hittman'},https://www.rottentomatoes.com/m/never_rarely_sometimes_always
6,6,BlumhousesFantasyIsland,7,48,1h 49m,,,"Feb 14, 2020",,"Apr 14, 2020","['horror', 'mysteryandthriller']","{'Maggie Q', 'Jeanette Volturno', 'Jason Blum', 'Charlotte McKinney', 'Portia Doubleday', 'Ryan Hansen', 'Marc Toberoff', 'Lucy Hale', 'Jimmy O. Yang', 'Austin Stowell', 'Chris Roach', 'Couper Samuelson', 'Toby Oliver', 'Michael Rooker', 'Michael Peña', 'Jillian Jacobs', 'Parisa Fitz-Henley', 'Jeff Wadlow'}",{'Jeff Wadlow'},https://www.rottentomatoes.com/m/fantasy_island_2020
7,7,KokodiKokoda,80,57,1h 26m,,,"Nov 6, 2020",,"Dec 8, 2020","['horror', 'comedy']","{'Olof Cornéer', 'Ylva Gallon', 'Katarina Jakobson', 'Johannes Nyholm', 'Peter Hyldahl', 'Johan Lundborg', 'Leif Edlund', 'Tobias Hoiem-Flyckt', 'Peter Belli', 'Morad Baloo Khatchadorian', 'Simon Ohlsson'}",{'Johannes Nyholm'},https://www.rottentomatoes.com/m/koko_di_koko_da
8,8,ThemThatFollow,59,45,1h 38m,,,"Aug 2, 2019",,"Sep 7, 2019","['mysteryandthriller', 'drama']","{'Olivia Colman', 'Jim Gaffigan', 'Brittany Poulton', 'Alice Englert', 'Brooks Roseberry', 'Bradley Gallo', 'William Gallo II', 'Alan Siegel', 'Lewis Pullman', 'Danielle Robinson', 'Thomas Mann', 'Kaitlyn Dever', 'Katherine DeBoer', 'Daniel Savage', 'Michael A. Helfant', 'Gerard Butler', 'Walton Goggins'}","{'Brittany Poulton,                                                   Daniel Savage'}",https://www.rottentomatoes.com/m/them_that_follow
9,9,AfterMidnight,89,49,1h 23m,,,"Feb 14, 2020",,"Jan 7, 2020",['horror'],"{'Brea Grant', 'Henry Zebrowski', 'Jeremy Gardner', 'Ashley Song', 'Justin Benson', 'Nicola Masciotra', 'Keith Arbuthnot', 'Christian Stella', 'Arvind Harinath', 'Aaron Moorhead', 'Venu Kunnappilly'}",{'Christian Stella'},https://www.rottentomatoes.com/m/after_midnight_2020
10,10,TheLastFullMeasure,59,96,1h 56m,,,"Jan 24, 2020",,"Apr 7, 2020","['war', 'drama']","{'Pen Densham', 'Mark Damon', 'Michael Imperioli', 'Ed Harris', 'Todd Robinson', 'Samuel L. Jackson', 'Christopher Plummer', 'Jeremy Irvine', 'Julian Adams', 'Bradley Whitford', 'Sebastian Stan', 'Robert Reed Peterson', 'Alison Sudol', 'Timothy Scott Bogart', 'Linus Roache', 'Adi Cohen', 'William Hurt', 'Nicholas Cafritz', 'Michael Bassick'}",{'Todd Robinson'},https://www.rottentomatoes.com/m/the_last_full_measure
11,11,PortraitofaLadyonFire,98,92,2h 1m,,,"Dec 6, 2019",,"Apr 3, 2020","['gayandlesbian', 'drama', 'romance', 'history']","{'Guy Delamarche', 'Julien Lacheray', 'Adèle Haenel', 'Arthur Simonini', 'Bénédicte Couvreur', 'Valeria Golino', 'Dorothée Guiraud', 'Thomas Grézaud', 'Noémie Merlant', 'Michèle Clément', 'Christel Baras', 'Céline Sciamma', 'Claire Mathon', 'Armande Boulanger', 'Véronique Cayla', 'Jean-Baptiste de Laubier', 'Luàna Bajrami'}",{'Céline Sciamma'},https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire
12,12,ScareMe,84,65,1h 44m,,,,,"Oct 1, 2020",['horror'],"{'Aya Cash', 'Chris Redd', 'Daniel Powell', 'Josh Ruben', 'Rebecca Drysdale', 'Alex Bach', 'Lauren Sick'}",{'Josh Ruben'},https://www.rottentomatoes.com/m/scare_me
13,13,ManchildTheScheaCottonStory,100,86,1h 18m,,,,,"Jun 21, 2020",['documentary'],"""{'Schea Cotton', """"Anthony 'Ls' Cruz""""", 'Elton Brand', 'Mack Tompkins'
14,14,ToxicBeauty,100,,1h 30m,,,,,"Jan 26, 2020",['documentary'],{'Phyllis Ellis'},{'Phyllis Ellis'},https://www.rottentomatoes.com/m/toxic_beauty
15,15,TrueHistoryoftheKellyGang,79,40,2h 4m,,,"Apr 24, 2020",,"Apr 20, 2020","['crime', 'drama', 'biography']","{'Justin Kurzel', 'Naima Abed', 'George MacKay', 'Louis Hewison', 'Charlie Hunnam', 'Marlon Williams', 'Earl Cave', 'Russell Crowe', 'Shaun Grant', 'Paul Ranford', 'Hal Vogel', 'David Aukin', 'Thomasin McKenzie', 'Liz Watts', 'Ari Wegner', 'Nicholas Hoult', 'Essie Davis', 'Sean Keenan', 'Peter Carey', 'Brad Feinstein'}",{'Justin Kurzel'},https://www.rottentomatoes.com/m/true_history_of_the_kelly_gang
16,16,TylerPerrysAFallFromGrace,16,51,2h,,,,,"Mar 19, 2021",['mysteryandthriller'],"{'Phylicia Rashad', 'Cicely Tyson', 'Tyler Perry', 'Bresha Webb'}",{'Tyler Perry'},https://www.rottentomatoes.com/m/tyler_perrys_a_fall_from_grace
17,17,Sibyl,56,33,1h 40m,,,"Sep 11, 2020",,"Oct 13, 2020","['drama', 'comedy']","{'Niels Schneider', 'Gaspard Ulliel', 'Serge Hayat', 'Virginie Efira', 'Laure Calamy', 'Paul Hamy', 'Justine Triet', 'David Thion', 'Toma Baqueni', 'Adèle Exarchopoulos', 'Arthur Harari', 'Laurent Sénéchal', 'Philippe Martin', 'Sandra Hüller', 'Simon Beaufils'}",{'Justine Triet'},https://www.rottentomatoes.com/m/sibyl
18,18,WhiteRiot,100,88,1h 20m,,,,,"Dec 3, 2020","['documentary', 'music']","{'Mick Jones', 'Rubika Shah', 'Paul Simonon', 'Pauline Black', 'Joe Strummer', 'Dennis Bovell', 'Poly Styrene', 'Aisling Brouwer', 'Topper Headon', 'Mykaell S Riley', 'Susanne Salavati', 'Paul Ashton', 'Ed Gibbs'}",{'Rubika Shah'},https://www.rottentomatoes.com/m/white_riot
19,19,AKAJaneRoe,88,73,,,,,,"May 23, 2020",['documentary'],"{'Norma McCorvey', 'Nick Sweeney'}",{'Nick Sweeney'},https://www.rottentomatoes.com/m/aka_jane_roe
20,20,CreemAmericasOnlyRocknRollMagazine,96,100,1h 15m,,,"Aug 7, 2020",,"Aug 27, 2020","['documentary', 'music']","{'Justin Wilson', 'Scott Crawford', 'Jaan Uhelzski', 'Jenny Feterovich', 'Ivan Suvanjieff', 'J.J. Kramer', 'Margaret Saadi Kramer', 'Raisa Churina', 'Jaan Uhelszki'}",{'Scott Crawford'},https://www.rottentomatoes.com/m/creem_americas_only_rock_n_roll_magazine
21,21,Savage,76,66,1h 40m,,,,,"Jan 29, 2020","['crime', 'drama']","{'Olly Presling', 'Eden Flynn', 'Vicky Pope', 'Chris Elliott', 'John Tui', 'Brian Kelly', 'William Watson', 'Peter Roberts', 'Seth Flynn', 'Arli Liberman', 'Dominic Ona-Ariki', 'Bill Trotter', 'Jake Ryan', 'Erroll Shand', 'James L. Brown', 'Chelsie Preston Crayford', 'Sam Kelly'}",{'Sam Kelly'},https://www.rottentomatoes.com/m/savage_2019_2
22,22,TheMoreYouIgnoreMe,80,74,1h 38m,,,,,"Oct 13, 2020",['comedy'],"{'Clive Mantle', 'Tony Way', 'Kathryn Nichols', 'Sheila Hancock', 'Elizabeth Carling', 'Caleb Ranson', 'Tom Davis', 'Sally Phillips', 'Robert Little', 'Justin Ribbons', 'Frank Smith', 'Richard Hart', 'Mark Addy', 'Ella Hunt', 'Jo Brand', 'Julian Gleek', 'Sheridan Smith', 'Ralph Bernard', 'Keith English'}",{'Keith English'},https://www.rottentomatoes.com/m/the_more_you_ignore_me
23,23,ReturntoHardwick,100,100,1h 13m,,,,,"Jun 7, 2020",['documentary'],"{'Nick Timmer', 'Michael Cudlitz', 'Michael Sellers'}",{'Michael Sellers'},https://www.rottentomatoes.com/m/return_to_hardwick
24,24,ScreenedOut,79,,1h 11m,,,,,"May 26, 2020",['documentary'],"{'Adam Alter', 'Hilarie Cash', 'Joshua Ausley', 'Karina Rotenstein', 'Jon Hyatt', 'Alex Pang', 'Naresh Bangia', 'Alicia Dupuis', 'Bruce William Harper', 'Jean Twenge', 'Jim Steyer', 'Richard Hyatt', 'Mark Danner'}",{'Jon Hyatt'},https://www.rottentomatoes.com/m/screened_out
25,25,William,42,45,1h 42m,,,"Apr 12, 2019",,"Mar 10, 2020",['drama'],"{'J.T. Allen', 'Waleed Zuaiter', 'Susan Park', 'Callum Airlie', 'Beth Grant', 'Paul Guilfoyle', 'Morgan Taylor Campbell', 'Peter Newman', 'Tim Disney', 'Amar Balaggan', 'Graham Talbot', 'Nelson Talbot', 'Bill Haney', 'Will Brittain', 'Maria Dizzia', 'Jonathan DuBois'}",{'Tim Disney'},https://www.rottentomatoes.com/m/william_2019
26,26,BlackMagicforWhiteBoys,80,,1h 45m,,,"Jul 3, 2020",,"Jul 3, 2020",['comedy'],"{'Jackie Almonte', 'Ron Brice', 'Bar Bar', 'Onur Tukel', 'Jamie Block', 'Gesley Alexis', 'Teisha Hickman', 'Franck Raharinosy', 'Jason Banker', 'Frantzdy Alexandre', 'Estee Braverman', 'Tavares Jamal Cherry', 'Gigi Graff'}",{'Onur Tukel'},https://www.rottentomatoes.com/m/black_magic_for_white_boys
27,27,WolkenbruchswunderlicheReiseindieArmeeinerSchickse,63,49,,,,,,,[],"{'Michael Steiner', 'Joel Basman', 'Inge Maux', 'Udo Samel', 'Noémie Schmidt'}",{'Michael Steiner'},https://www.rottentomatoes.com/m/the_awakening_of_motti_wolkenbruch
28,28,PariahDog,100,100,1h 17m,,,,,"Aug 18, 2020",['documentary'],"{'Aditi Sircar', 'Jesse Alk'}",{'Jesse Alk'},https://www.rottentomatoes.com/m/pariah_dog
29,29,EndofSentence,93,88,1h 36m,,,"May 29, 2020",,"May 27, 2020",['drama'],"{'Sarah Bolger', 'Eva Maria Daniels', 'Sigurjon Sighvatsson', 'David Collins', 'Ray Ball', 'Guðlaugur Andri Eythórsson', 'Karl Oskarsson', 'Andrea Irvine', 'Logan Lerman', 'David Grant Wright', 'Sean Mahon', 'Olga Segura', 'John Hawkes', 'Michael Armbruster', 'Ólafur Darri Ólafsson', 'Elfar Adalsteins'}",{'Elfar Adalsteins'},https://www.rottentomatoes.com/m/end_of_sentence
30,30,BabyFrankenstein,83,83,1h 23m,,,"Oct 26, 2018",,"Jun 23, 2020","['fantasy', 'scifi', 'drama', 'comedy']","{'Patrick McCartney', 'Eileen Rosen', 'Denise Pantoja', 'Andre Gower', 'Mason Carver', 'David Sartor', 'John Hudak Jr.', 'Mike Rutkoski', 'Jon Yonkondy', 'Ian Barling', 'Rance Nix', 'Bill Rutkoski'}",{'Jon Yonkondy'},https://www.rottentomatoes.com/m/baby_frankenstein
31,31,HellontheBorder,40,31,1h 27m,,,,,"Dec 13, 2019",['western'],"{'Ron Perlman', 'Marshall R. Teague', 'Leslie Sides', 'David Gyasi', 'Wes Miller', 'Henry Penzi', 'Jeff Elliott', 'Michael Brouphy', 'Curtis Nichouls', 'Frank Grillo', 'Stan Wertlieb', 'Manu Intiraymi', 'Randy Wayne', 'Jaqueline Fleming', 'Barry Brooker', 'Alastair Burlingham', 'Rowan Maher', 'Alexander Kane'}",{'Wes Miller'},https://www.rottentomatoes.com/m/hell_on_the_border
32,32,Soul,96,88,1h 40m,,,,,"Dec 25, 2020","['adventure', 'comedy', 'animation', 'kidsandfamily']","""{'Angela Bassett', 'Daveed Diggs', 'Graham Norton', 'Alice Braga', 'Dan Scanlon', 'Kevin Nolting', 'Ahmir """"Questlove"""" Thompson'", 'Trent Reznor', 'Jamie Foxx'
33,33,LittleJoe,68,43,1h 45m,,,"Dec 6, 2019",,"Dec 6, 2019","['horror', 'scifi']","{'Kit Connor', 'Géraldine Bajard', 'Phénix Brossard', 'Leanne Best', 'Philippe Bober', 'Emily Beecham', 'David Wilmot', 'Bruno Wagner', 'Sebastian Hülk', 'Martin Gschlacht', 'Jessica Hausner', 'Kerry Fox', 'Goran Kostic', 'Ben Whishaw', 'Lindsay Duncan'}",{'Jessica Hausner'},https://www.rottentomatoes.com/m/little_joe
34,34,AlltheBrightPlaces,64,60,1h 47m,,,,,"Mar 10, 2020","['drama', 'romance']","{'Alexandra Shipp', 'Elle Fanning', 'Brett Haley', 'Virginia Gardner', 'Nicole Forester', 'Keegan-Michael Key', 'Luke Wilson', 'Justice Smith'}",{'Brett Haley'},https://www.rottentomatoes.com/m/all_the_bright_places
35,35,ASimpleWedding,80,71,1h 28m,,,"Feb 14, 2020",,"Feb 12, 2020",['romance'],"""{'Maz Jobrani', 'James Eckhouse', 'Rebecca Henderson', 'Ray Moheet', 'Ziv Berkovich', 'Sara Zandieh', 'Sam Golzari', 'Tara Grammy', """"Christopher O'Shea""""", 'Stephanie Wu', 'Peter Mackenzie'
36,36,TheWeekend,89,56,1h 33m,,,"Mar 14, 2014",,"Aug 10, 2016","['drama', 'comedy']","{'Xavier De Guillebon', 'Denis Sebbah', 'Kristina Hetherington', 'Nathalie Durand', 'Charlotte Léo', 'Philip Knatchbull', 'Marie-France Alvarez', 'Sébastien Siroux', 'Olly Alexander', 'Jeff Goldblum', 'Bertrand Faivre', 'Jim Broadbent', 'Lindsay Duncan', 'Brice Beaugier', 'Jeremy Sams', 'Sue Bruce Smith', 'Roger Michell', 'Hanif Kureishi', 'Kevin Loader', 'Louisa Dent'}",{'Roger Michell'},https://www.rottentomatoes.com/m/le_week_end
37,37,OttolenghiandtheCakesofVersailles,72,60,1h 15m,,,"Sep 25, 2020",,"Sep 25, 2020",['documentary'],"{'Mohamed AlRafi', 'Steve Robillard', 'Lauren Deuterman', 'Yotam Ottolenghi', 'Jeff Frey', 'Laura Gabbert'}",{'Laura Gabbert'},https://www.rottentomatoes.com/m/ottolenghi_and_the_cakes_of_versailles
38,38,AllDayandaNight,54,60,2h 1m,,,,,"May 2, 2020",['drama'],"""{'Jeffrey Wright', 'Isaiah John', 'Jared Goldman', 'Jonathan Montepare', 'Jessica Lee Gagné', 'Kay Lee', 'Mako Kamitsuna', 'Yahya Abdul-Mateen II', 'Brad Simpson', 'Michael Abels', 'Nina Jacobson', 'Joe Robert Cole', 'Matt Levin', 'Regina Taylor', 'Ashton Sanders', """"Shakira Ja'nai Paye""""", 'Christopher Meyer'," 'Kelly Jenrette'}"""
39,39,LostGirls,73,51,1h 35m,,,"Mar 13, 2020",,"Mar 13, 2020",['drama'],"{'Amy Nauiokas', 'Thomasin McKenzie', 'Rory Koslow', 'Lola Kirke', 'Anne Nikitin', 'Vinay Singh', 'Anne Carey', 'Carrie Fix', 'Igor Martinovic', 'Amy Ryan', 'Kevin McCormick', 'Robert Kolker', 'Liz Garbus', 'Gabriel Byrne'}",{'Liz Garbus'},https://www.rottentomatoes.com/m/lost_girls_2020
40,40,ChickFight,38,20,1h 37m,,,"Nov 13, 2020",,"Nov 13, 2020","['comedy', 'action', 'sportsandfitness']","{'Kevin Connolly', 'Ash Christian', 'Joseph Downey', 'Julia Sandstrom', 'Dominique Jackson', 'Alec Baldwin', 'Anne Clements', 'Kevin Nash', 'Fortune Feimster', 'Frances Lausell', 'Michael J. Rothstein', 'Jordan Yale Levine', 'Paul Leyden', 'Bella Thorne', 'Alec Mapa', 'Dulcé Sloan', 'Philip James Boyce', 'Jordan Beckerman', 'Malin Akerman'}",{'Paul Leyden'},https://www.rottentomatoes.com/m/chick_fight
41,41,Driven,71,57,1h 30m,,,"Feb 9, 2019",,"Jun 16, 2020","['horror', 'comedy']","{'Richard Speight Jr.', 'Michael Williams', 'Bill Luckett', 'Casey Dillard', 'Matthew Steed', 'Glenn Payne', 'Jennifer Hamilton Collins', 'Jessica Harthcock', 'Leah Hudspeth', 'Andy Field'}",{'Glenn Payne'},https://www.rottentomatoes.com/m/driven_2020
42,42,QueenSlim,83,92,2h 12m,,,"Nov 27, 2019",,"Nov 27, 2019","['crime', 'romance', 'drama']","""{'Daniel Kaluuya', """"Jahi Di'Allo Winston""""", 'Benito Martinez', 'Pamela Hirsch'
43,43,GhostStories,33,16,2h 24m,,,,,"Jan 1, 2020",['horror'],"{'Aditya Shetty', 'Janhvi Kapoor', 'Vijay Varma', 'Sukant Goel', 'Zoya Akhtar', 'Eva Ameet Pardeshi', 'Anurag Kashyap', 'Mona Matthew', 'Karan Johar', 'Pavail Gulati', 'Ronnie Screwvala', 'Sobhita Dhulipala', 'Dibakar Banaerjee', 'Sagar Arya', 'Surekha Sikri'}","{'Zoya Akhtar,                                                     Dibakar Banaerjee,                                                     Karan Johar,                                                     Anurag Kashyap'}",https://www.rottentomatoes.com/m/ghost_stories_2020
44,44,Mnemophrenia,100,87,1h 18m,,,,,"Jul 26, 2020","['drama', 'scifi']","{'Robin King', 'Freya Berry', 'Giorgio Galli', 'Tallulah Sheffield', 'Eirini Konstantinidou'}",{'Eirini Konstantinidou'},https://www.rottentomatoes.com/m/mnemophrenia
45,45,RamboLastBlood,26,82,1h 29m,,,"Sep 20, 2019",,"Sep 20, 2019",['action'],"{'Avi Lerner', 'Les Weldon', 'Yariv Lerner', 'Jeffrey Greenstein', 'Joaquín Cosio', 'Sergio Peris-Mencheta', 'Yvette Monreal', 'Adrian Grunberg', 'Liu Rong', 'Paz Vega', 'Genie Kim', 'Kevin King Templeton', 'Óscar Jaenada', 'Pascacio López', 'Jonathan Yunger', 'Sylvester Stallone', 'Alexander Dimitrov', 'Adriana Barraza', 'Matthew Cirulnick'}",{'Adrian Grunberg'},https://www.rottentomatoes.com/m/rambo_last_blood
46,46,ISeeYou,79,74,1h 36m,,,"Dec 6, 2019",,"Dec 5, 2019",['mysteryandthriller'],"{'Libe Barer', 'Eric Fischer', 'Owen Teague', 'Allison Gabriel King', 'Helen Hunt', 'Jennifer Grace', 'James Atherton', 'Mark Andrew Hamer', 'Devon Graye', 'Gregory Alan Williams', 'Carmen Navis', 'Jordan Bayer', 'Adam Randall', 'Judah Lewis', 'Philipp Blaubach', 'Adam Kern', 'Matt Waldeck', 'Jeff Castelluccio', 'Jon Tenney'}",{'Adam Randall'},https://www.rottentomatoes.com/m/i_see_you_2019
47,47,AroundtheSun,93,67,1h 19m,,,,,"Aug 4, 2020",['drama'],"{'Cara Theobold', 'Maryna Gradnova', 'Michael Edo Keane', 'Vicki Thomson', 'Oliver Krimpas', 'Steven Gutheinz', 'Jonathan Kiefer', 'Gethin Anthony'}",{'Oliver Krimpas'},https://www.rottentomatoes.com/m/around_the_sun
48,48,BusmansHoliday,86,,1h 47m,,,,,"Jul 25, 2020",['drama'],"{'Zeff Lawless', 'Jens Christian Buskov Lund', 'Jamie McShane', 'Jessie Doyle', 'Matt Boesenberg', 'Francis Edwards', 'Michael Lowry', 'Ettore Nicoletti', 'Ashutosh Gaikwad', 'Austin Smithard'}",{'Austin Smithard'},https://www.rottentomatoes.com/m/busmans_holiday_2020
49,49,ThePhenomenon,88,93,1h 41m,,,,,"Oct 6, 2020",['documentary'],"{'James Fox', 'Peter Coyote'}",{'James Fox'},https://www.rottentomatoes.com/m/the_phenomenon
50,50,DeadKids,17,79,1h 38m,,,,,"Dec 1, 2019",['mysteryandthriller'],"{'Khalil Ramos', 'Sue Ramirez', 'Kelvin Miranda', 'Mikhail Red', 'Vance Larena', 'Markus Paterson'}",{'Mikhail Red'},https://www.rottentomatoes.com/m/dead_kids
51,51,IftheDancerDances,93,93,1h 23m,,,"Apr 26, 2019",,"Jul 25, 2019",['documentary'],"{'Victoria Sendra', 'Lise Friedman', 'Maia Wechsler', 'Alex Rappoport', 'Adam Zucker', 'Paul Brill', 'Mary Manhardt', 'Scott Sinkler', 'Eric Phillips-Horst'}",{'Maia Wechsler'},https://www.rottentomatoes.com/m/if_the_dancer_dances
52,52,YouCannotKillDavidArquette,83,90,1h 30m,,,"Aug 21, 2020",,"Aug 28, 2020",['documentary'],"{'Courteney Cox', 'Rosanna Arquette', 'Stacey Souther', 'Christina McLarty Arquette', 'Price James', 'Ric Flair', 'Kathryn Everett', 'Ross Levine', 'Franklin McLarty', 'Justin Lacob', 'Bryn Mooser', 'David Darg', 'Patricia Arquette', 'David Arquette'}","{'David Darg,                                                     Price James'}",https://www.rottentomatoes.com/m/you_cannot_kill_david_arquette
53,53,InsideLehmanBrothers,86,,1h 25m,,,,,"Oct 21, 2019",['documentary'],"{'Frederick Lacroix', 'Tom Bannigan', 'Anton Valukas', 'Medhat Hanbali', 'Ina Fichman', 'Myriam Milent', 'Jennifer Deschamps'}",{'Jennifer Deschamps'},https://www.rottentomatoes.com/m/inside_lehman_brothers
54,54,YellowRose,87,78,1h 35m,,,"Oct 9, 2020",,"Oct 17, 2020","['drama', 'music']","{'Gustavo Gómez', 'Kenneth Wayne Bradley', 'Karen Elizaga', 'Libby Villari', 'Dale Watson', 'Diane Paragas', 'Rey Cuerdo', 'Annie J. Howell', 'Orian Williams', 'Cecilia Mejia', 'Celena Cipriaso', 'Lea Salonga', 'Olivia Finina De Jesus', 'Eva Noblezada', 'Princess Punzalan', 'Kelsey Pribilski'}",{'Diane Paragas'},https://www.rottentomatoes.com/m/yellow_rose
55,55,LazySusan,10,54,1h 30m,,,"Apr 3, 2020",,"Apr 3, 2020",['comedy'],"""{'Margo Martindale', 'Matthew Broderick', 'Carrie Aizley', 'Sean Hayes', """"Zach O'Brien""""", 'Matty Cardarople', 'Nick Peet'
56,56,RedPenguins,96,91,1h 20m,,,,,"Aug 4, 2020",['documentary'],"{'Leo Birenberg', 'Gabe Polsky', 'Christina Stiles', 'Alexey Elagin', 'Thore Vollert', 'Steven Warshaw', 'Howard Baldwin', 'Scott Jay Kaplan', 'Viktor Tikhonov', 'Eric Friedler'}",{'Gabe Polsky'},https://www.rottentomatoes.com/m/red_penguins
57,57,Host,100,72,57m,,,,,"Jul 30, 2020","['horror', 'mysteryandthriller']","{'Jed Shepherd', 'Edward Linard', 'Rob Savage', 'Radina Drandova', 'Gemma Hurley', 'Emma Louise Webb', 'Jemma Moore', 'Caroline Ward', 'Haley Bishop'}",{'Rob Savage'},https://www.rottentomatoes.com/m/host_2020
58,58,IronMask,22,19,2h 10m,,,,,"Nov 20, 2020","['adventure', 'fantasy', 'action']","{'Yuri Kolokolnikov', 'Peikang La', 'Sergei Bespalov', 'Aleksey Petrukhin', 'Jason Flemyng', 'Yingchun Fang', 'Arnold Schwarzenegger', 'Anna Churina', 'Rutger Hauer', 'Charles Dance', 'Martin Klebba', 'Christopher Fairbank', 'Oleg Stepchenko', 'Sergey Selyanov', 'Yao Xingtong', 'Aleksey A. Petrukhin', 'Gleb Fetisov', 'Jackie Chan'}",{'Oleg Stepchenko'},https://www.rottentomatoes.com/m/iron_mask_2020
59,59,TheHoneymoonPhase,77,,1h 28m,,,"Aug 21, 2020",,"Aug 21, 2020","['horror', 'mysteryandthriller', 'scifi']","{'Michael Wetherbee', 'Andrew van den Houten', 'Chris Ryan', 'David Zhou', 'Francois Chau', 'Ione Butler', 'Matthew Sherer', 'Jim Schubin', 'Joe Staehly', 'Phillip G. Carroll Jr.', 'Mike Sutton', 'Eryn Gaudio', 'Ben Samuels', 'Tara Westwood', 'Chloe Carroll', 'Michael Everett Johnson'}",{'Phillip G. Carroll Jr.'},https://www.rottentomatoes.com/m/the_honeymoon_phase
60,60,BrianBanks,63,97,1h 39m,,,"Aug 9, 2019",,"Aug 27, 2019","['biography', 'drama']","{'Shivani Rawat', 'Neil Strum', 'Justin Brooks', 'Gino Vento', 'Derrick Tseng', 'Jose Miguel Vasquez', 'Dorian Missick', 'Aldis Hodge', 'Tirrell D. Whittley', 'Tom Shadyac', 'Amy Baer', 'Mystie Smith', 'Brian Banks', 'Melanie Liburd', 'Greg Kinnear', 'Monica Levinson', 'Doug Atchison', 'Xosha Roquemore', 'Tiffany Dupont', 'Sherri Shepherd'}",{'Tom Shadyac'},https://www.rottentomatoes.com/m/brian_banks
61,61,DontBeNice,91,86,1h 36m,,,"Sep 20, 2019",,"Jul 19, 2020",['documentary'],"{'Sean DesVignes', 'Jon Sands', 'Noel Quinones', 'Caroline Sinclair', 'Judd Ehrlich', 'Nikhil Melnechuk', 'Olutayo Bosede', 'Joël François', 'Melina Brown', 'Cora Atkinson', 'Lauren Whitehead', 'Max Powers', 'Timothy DuWhite', 'Ashley August'}",{'Max Powers'},https://www.rottentomatoes.com/m/dont_be_nice
62,62,Endless,18,,1h 34m,,,"Aug 14, 2020",,"Aug 14, 2020","['drama', 'romance']","""{'Patrick Gilmore', 'Sean Finegan', 'Ian Tracey', 'Aaron Pearl', """"O'Neil Sharma""""", 'Andre Case', 'Kevin DeWalt'
