title,audience_score,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award
RIP TIDE,55,"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.",2017,85,3589904,207424,The Steve Jaggi Company,Unrated,10/3/2017,['Rhiannon Bannenberg'],"['Debby Ryan', 'Genevieve Hegney', 'Andrew Creer', 'Naomi Sequeira']","['Drama', 'Family']",0
THE BOUNCER,59,"A nightclub bouncer in his fifties who's taken punches, literally and figuratively, struggles to raise his 8-year-old daughter.",2018,94,6184080,546771,Labyrinthe Films,R,8/22/2018,['Julien Leclercq'],"['Jean-Claude Van Damme', 'Sami Bouajila', 'Sveva Alviti', 'Sam Louwyck']","['Action', 'Drama', 'Thriller']",0
THE MULE,70,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,2018,116,51534007,180167432,Warner Bros.,R,12/14/2018,['Clint Eastwood'],"['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']","['Crime', 'Drama', 'Thriller']",1
UNPLANNED,58,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",2019,109,6074021,21613319,Unplanned Movie,R,3/29/2019,"['Chuck Konzelman', 'Cary Solomon']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott', 'Jared Lotz']","['Biography', 'Drama']",0
CUJO,61,"Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town.",1983,93,12992520,54974345,Sunn Classic Pictures,R,8/12/1983,['Lewis Teague'],"['Dee Wallace', 'Daniel Hugh Kelly', 'Danny Pintauro', 'Christopher Stone']","['Horror', 'Thriller']",0
TERMS OF ENDEARMENT,74,"Follows hard-to-please Aurora looking for love, and her daughter's family problems.",1983,132,20788032,281739547,Paramount Pictures,PG,12/9/1983,['James L. Brooks'],"['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito']","['Comedy', 'Drama']",1
BEST DEFENSE,38,"A military weapons engineer struggles to do his job responsibly, while a hapless tank commander has to live with the consequences in combat years later.",1984,94,44837324,47989144,Cinema Group Ventures,R,7/20/1984,['Willard Huyck'],"['Dudley Moore', 'Eddie Murphy', 'Kate Capshaw', 'George Dzundza']","['Comedy', 'War']",0
SMOOTH TALK,64,A free-spirited 15-year-old girl flirts with a dangerous stranger in the Northern California suburbs and must prepare herself for the frightening and traumatic consequences.,1985,92,5772736,40373,American Playhouse,PG-13,11/17/1985,['Joyce Chopra'],"['Treat Williams', 'Laura Dern', 'Mary Kay Place', 'Margaret Welsh']","['Drama', 'Romance', 'Thriller']",0
WHITE NIGHTS,67,"A Russian American ballet dancer's airplane is forced to land in USSR, where he's ""repatriated"". He stays with an American man married to a Russian. Will the American help him flee USSR?",1985,136,48106133,101409772,Columbia Pictures,PG-13,12/6/1985,['Taylor Hackford'],"['Mikhail Baryshnikov', 'Gregory Hines', 'Jerzy Skolimowski', 'Helen Mirren']","['Drama', 'Music']",0
THE BEDROOM WINDOW,64,A young executive starts an affair with his boss's wife which then escalates into a nightmare after he lies to the police in order to protect her.,1987,112,18909606,28798157,De Laurentiis Entertainment Group (DEG),R,1/16/1987,['Curtis Hanson'],"['Steve Guttenberg', 'Elizabeth McGovern', 'Isabelle Huppert', 'Paul Shenar']","['Crime', 'Mystery', 'Thriller']",0
ILLEGALLY YOURS,42,A college dropout called for jury duty tries to prove his childhood crush innocent.,1988,102,28440769,566669,Crescent Moon,PG,5/13/1988,['Peter Bogdanovich'],"['Rob Lowe', 'Colleen Camp', 'Kenneth Mars', 'Kim Myers']","['Comedy', 'Crime']",0
THE WAR OF THE ROSES,68,A married couple try everything to get each other to leave the house in a vicious divorce battle.,1989,116,54266822,334343207,Twentieth Century Fox,R,12/8/1989,['Danny DeVito'],"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito', 'Marianne Sägebrecht']","['Comedy', 'Romance']",1
DROP DEAD FRED,59,A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.,1991,103,12898744,26372139,PolyGram Filmed Entertainment,PG-13,5/24/1991,['Ate de Jong'],"['Phoebe Cates', 'Rik Mayall', 'Marsha Mason', 'Tim Matheson']","['Comedy', 'Drama', 'Fantasy']",0
IN THE NAME OF THE FATHER,81,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,1993,133,23284034,117847416,Hell's Kitchen Films,R,2/25/1994,['Jim Sheridan'],"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']","['Biography', 'Crime', 'Drama']",1
CASPER,61,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,1995,100,84911745,488969710,Universal Pictures,PG,5/26/1995,['Brad Silberling'],"['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty', 'Eric Idle']","['Comedy', 'Family', 'Fantasy']",0
POCAHONTAS,67,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,1995,81,93402919,587724751,Walt Disney Pictures,G,6/23/1995,"['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker']","['Animation', 'Adventure', 'Drama', 'Family', 'Musical', 'Romance']",0
AFFLICTION,70,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,1997,114,9675177,10207399,JVC Entertainment Networks,R,2/19/1999,['Paul Schrader'],"['Nick Nolte', 'Sissy Spacek', 'James Coburn', 'Brigid Tierney']","['Drama', 'Mystery', 'Thriller']",0
WAKING NED DEVINE,73,"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",1998,91,4763392,87737643,Tomboy Films,PG,1/8/1999,['Kirk Jones'],"['Ian Bannen', 'David Kelly', 'Fionnula Flanagan', 'Susan Lynch']",['Comedy'],0
MULHOLLAND DR,79,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",2001,147,21920750,29609312,Les Films Alain Sarde,R,10/19/2001,['David Lynch'],"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']","['Drama', 'Mystery', 'Thriller']",0
TAXI 2,65,"Police inspector Emilien and his taxi-driver pal Daniel are back, this time on the tail of a group of Japanese yakuza.",2000,88,105207723,91269449,ARP Sélection,Unrated,10/6/2000,['Gérard Krawczyk'],"['Samy Naceri', 'Frédéric Diefenthal', 'Emma Wiklund', 'Marion Cotillard']","['Action', 'Comedy', 'Crime']",0
FEBRUARY 15 1839,72,French Canadians face execution after a revolt against British bureaucrats in Quebec.,2001,120,4530288,63709,Association Coopérative des Productions Audio-Visuelles (ACPAV),,1/26/2001,['Pierre Falardeau'],"['Luc Picard', 'Sylvie Drapeau', 'Frédéric Gilles', 'Pierre Rivard']","['Drama', 'History']",0
ORANGE COUNTY,62,A guidance counselor mistakenly sends out the wrong transcripts to Stanford University under the name of an over-achieving high schooler.,2002,82,25895486,62329010,Paramount Pictures,PG-13,1/11/2002,['Jake Kasdan'],"['Colin Hanks', 'Jack Black', 'Schuyler Fisk', 'Bret Harrison']","['Comedy', 'Drama']",0
HALF PAST DEAD,46,This movie tells the story of a man who goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.,2002,98,18702295,27669730,Screen Gems,PG-13,11/15/2002,['Don Michael Paul'],"['Morris Chestnut', 'Steven Seagal', 'Matt Battaglia', 'Ja Rule']","['Action', 'Crime', 'Thriller']",0
