link,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating
https://www.imdb.com/title/tt4503598/,,,"$6,147",Uncorked Productions,Not Rated
https://www.imdb.com/title/tt1595842/,"$4,000,000",,"$1,309,580",The Collective Studios,TV-PG
https://www.imdb.com/title/tt7167658/,,,"$4,031",DC Entertainment,PG-13
https://www.imdb.com/title/tt1954315/,"€3,100,000","$5,317","$1,052,010",Graniet Film BV,Not Rated
https://www.imdb.com/title/tt1640711/,"$14,000,000",,"$15,521,362",Screen Australia,Not Rated
https://www.imdb.com/title/tt1436562/,"$90,000,000","$39,225,962","$483,866,518",Twentieth Century Fox Animation,G
https://www.imdb.com/title/tt5734576/,"$7,700,000","$6,401,744","$43,016,528",Screen Gems,R
https://www.imdb.com/title/tt2474024/,"$3,500,000","$42,042","$292,092",Lucky Monkey Pictures,PG-13
https://www.imdb.com/title/tt1179056/,"$35,000,000","$32,902,299","$115,695,182",New Line Cinema,R
https://www.imdb.com/title/tt9580138/,,,,DC Entertainment,R
https://www.imdb.com/title/tt4331970/,"€5,500,000","$8,838","$2,050,766",Fidélité Films,Unrated
https://www.imdb.com/title/tt10199586/,,,"$407,933",Ad Vitam Production,TV-14
https://www.imdb.com/title/tt0798817/,,,"$3,701,600",Alliance Cinema,R
https://www.imdb.com/title/tt3504048/,"$350,000",,"$241,347",Semi-Professional,Not Rated
https://www.imdb.com/title/tt2479800/,,"$63,461","$919,591",American Zoetrope,R
https://www.imdb.com/title/tt1392190/,"$150,000,000","$45,428,128","$376,109,824",Warner Bros.,R
https://www.imdb.com/title/tt7984734/,,"$427,797","$18,123,239",A24,R
https://www.imdb.com/title/tt1333125/,"$6,000,000","$4,805,878","$32,443,111",Relativity Media,R
https://www.imdb.com/title/tt7531096/,,"$31,305","$586,399",Head Gear Films,PG
https://www.imdb.com/title/tt3904278/,,,,Filmed Imagination,Not Rated
https://www.imdb.com/title/tt5805752/,,"$39,652","$681,632",3311 Productions,PG-13
https://www.imdb.com/title/tt11285908/,"$17,700,000","$36,201","$61,326,410",CJ E&M,Not Rated
https://www.imdb.com/title/tt2404639/,,"$38,886","$2,621,992",Maze Pictures,R
https://www.imdb.com/title/tt1623288/,"$60,000,000","$14,087,050","$107,139,399",Focus Features,PG
https://www.imdb.com/title/tt2649554/,"$18,000,000","$190,012","$6,740,647",Warner Bros.,PG-13
https://www.imdb.com/title/tt0443272/,"$65,000,000","$944,308","$275,293,450",Dreamworks Pictures,PG-13
https://www.imdb.com/title/tt1682181/,"$1,100,000","$116,472","$4,411,649",The Bully Project,PG-13
https://www.imdb.com/title/tt7394816/,"$9,000,000",,"$228,679",Daniel Grodnik Productions,R
https://www.imdb.com/title/tt4263482/,"$4,000,000","$8,800,230","$40,423,945",Parts and Labor,R
https://www.imdb.com/title/tt4181052/,,,,BRON Studios,TV-MA
https://www.imdb.com/title/tt2654580/,,,,Frequency Films,TV-14
https://www.imdb.com/title/tt2345759/,"$125,000,000","$31,688,375","$409,231,607",Universal Pictures,PG-13
https://www.imdb.com/title/tt3949660/,"$135,000,000","$35,316,382","$245,623,848",Paramount Pictures,PG-13
https://www.imdb.com/title/tt6237612/,"$6,000,000",,,LINK Entertainment,R
https://www.imdb.com/title/tt1907668/,"$31,000,000","$24,900,566","$161,772,375",Paramount Pictures,R
https://www.imdb.com/title/tt5825380/,"$25,000,000","$125,570","$15,889,124",Amazon Studios,PG-13
https://www.imdb.com/title/tt6987770/,,,"$2,183,025",thefyzz,R
https://www.imdb.com/title/tt1496025/,"$70,000,000","$25,306,725","$160,112,671",Screen Gems,R
https://www.imdb.com/title/tt6423362/,"$9,000,000","$2,511,530","$6,750,029",Alloy Entertainment,PG-13
https://www.imdb.com/title/tt1929308/,,,,Braven Films,R
https://www.imdb.com/title/tt6306064/,"$35,000,000","$11,603,039","$59,945,012",Huayi Brothers,PG-13
https://www.imdb.com/title/tt2463512/,"$5,000,000","$6,015","$83,008",The Film Community,R
https://www.imdb.com/title/tt3138122/,"$2,000,000",,"$9,687",Michael Bruce Pictures,Not Rated
https://www.imdb.com/title/tt8332802/,,,"$20,209",Head Gear Films,R
https://www.imdb.com/title/tt1753584/,,,"$49,016",Toloda,Not Rated
https://www.imdb.com/title/tt7533152/,,,,BBC Films,TV-PG
https://www.imdb.com/title/tt2548208/,,,"$7,457",Movie Trailer House,TV-14
https://www.imdb.com/title/tt5308322/,"$4,800,000","$26,039,025","$125,479,266",Universal Pictures,PG-13
https://www.imdb.com/title/tt0492389/,"$35,000,000","$6,627,564","$36,351,945",Summit Entertainment,PG
https://www.imdb.com/title/tt1307068/,"$10,000,000","$3,822,803","$11,681,781",Focus Features,R
https://www.imdb.com/title/tt0376479/,,"$149,038","$2,063,436",Lionsgate,R
https://www.imdb.com/title/tt1674773/,,"$31,270","$8,880,936",Heimatfilm,Not Rated
https://www.imdb.com/title/tt11029976/,"$1,000,000","$8,140","$8,140",Act 13,TV-MA
https://www.imdb.com/title/tt0455407/,"$20,000,000","$16,067,552","$54,806,823",Overture Films,R
https://www.imdb.com/title/tt1837613/,,"$6,786","$1,092,359",Stubborn Heart Films,R
https://www.imdb.com/title/tt1772341/,"$165,000,000","$49,038,712","$471,222,889",Walt Disney Animation Studios,PG
https://www.imdb.com/title/tt1240982/,"$49,900,000","$9,360,020","$28,013,733",Universal Pictures,R
https://www.imdb.com/title/tt1242460/,"$7,000,000","$24,587","$9,232,318",BBC Films,R
https://www.imdb.com/title/tt2567026/,"$170,000,000","$26,858,726","$299,457,024",Walt Disney Pictures,PG
https://www.imdb.com/title/tt2404425/,"$11,000,000","$2,091,551","$61,619,773",Origin Pictures,PG-13
https://www.imdb.com/title/tt1827579/,,,"$157,036",Bankside Films,Not Rated
https://www.imdb.com/title/tt2244901/,,"$5,436","$29,128,433",StudioCanal,R
https://www.imdb.com/title/tt9806192/,,,"$1,136,431",Xilam,TV-MA
https://www.imdb.com/title/tt5001754/,"$5,000,000",,"$854,319",Highland Film Group (HFG),R
https://www.imdb.com/title/tt2752758/,"$7,000,000","$8,308,220","$36,921,560",Twentieth Century Fox,R
https://www.imdb.com/title/tt11695654/,,,,Subtle T-Rex,TV-MA
https://www.imdb.com/title/tt2071441/,"$31,000,000","$18,027","$2,074,864",Zonbo Media,Not Rated
https://www.imdb.com/title/tt6142496/,,,,Campfire,TV-MA
https://www.imdb.com/title/tt1537401/,,"$2,727","$188,242",Machete Producciones,Unrated
https://www.imdb.com/title/tt3230082/,,"$21,809","$1,232,900",Alfama Films,R
https://www.imdb.com/title/tt3172532/,"$2,000,000","$52,334","$1,775,133",Caviar,R
https://www.imdb.com/title/tt0964517/,"$25,000,000","$300,010","$129,190,869",Closest to the Hole Productions,R
https://www.imdb.com/title/tt6304046/,"kr47,500,000","$10,841","$1,463,727",Motlys,Not Rated
https://www.imdb.com/title/tt6511932/,"$5,000,000","$1,763,070","$4,554,416",Iconoclast,R
https://www.imdb.com/title/tt0835802/,,,"$37,516",Dorian Media,R
https://www.imdb.com/title/tt6301712/,,,"$58,652",Head Gear Films,R
https://www.imdb.com/title/tt1707391/,,"$8,355","$70,851",Fabula,R
https://www.imdb.com/title/tt1657507/,"$40,000,000","$10,408,176","$71,508,440",EuropaCorp,PG-13
https://www.imdb.com/title/tt3294746/,,"$259,455","$644,740",Hammerstone Studios,PG-13
https://www.imdb.com/title/tt2316411/,,"$16,161","$3,468,224",Pathé,R
https://www.imdb.com/title/tt6781982/,"$29,000,000","$27,257,615","$103,105,878",Hartbeat Productions,PG-13
https://www.imdb.com/title/tt4712076/,,"$4,667","$4,667",Gamechanger Films,R
https://www.imdb.com/title/tt3260524/,,,,Beech Hill Films,TV-MA
https://www.imdb.com/title/tt2404233/,"$140,000,000","$14,123,903","$150,680,864",Pyramania,PG-13
https://www.imdb.com/title/tt9072352/,,"$192,352","$2,902,552",AGBO,R
https://www.imdb.com/title/tt4950110/,"$1,500,000","$927,161","$2,082,980",Visible Pictures(II),PG-13
https://www.imdb.com/title/tt2948372/,,,"$117,240,270",Walt Disney Pictures,PG
https://www.imdb.com/title/tt1502404/,"$50,000,000","$5,187,625","$40,909,909",Summit Entertainment,R
https://www.imdb.com/title/tt1032751/,"$42,000,000","$3,048,665","$11,103,434",Rogue,R
https://www.imdb.com/title/tt2170439/,"$42,000,000","$15,457,418","$107,645,357",BenderSpink,R
